"","RFPred","player","position"
"8856",60.4724666666666,"Alex Smith","QB"
"8958",5.02545,"Travis Kelce","TE"
"8809",0,"Brandon Mc Manus","K"
"8808",0.18,"Emmanuel Sanders","WR"
"8812",0.486,"Demaryius Thomas","WR"
"8883",0,"Robbie Gould","K"
"8866",0.035,"Odell Beckham","WR"
"8865",62.25385,"Eli Manning","QB"
"8840",0,"Sebastian Janikowski","K"
"8901",2.10341666666667,"Amari Cooper","WR"
"8849",3.131,"Michael Crabtree","WR"
"8905",54.3015666666667,"Derek Carr","QB"
"8854",2.212,"Rob Gronkowski","TE"
"8851",72.0015833333333,"Tom Brady","QB"
"8852",0,"Stephen Gostkowski","K"
"8818",0,"Randy Bullock","K"
"8926",6.96091666666667,"De Andre Hopkins","WR"
"8825",3.5615,"Larry Fitzgerald","WR"
"8846",6.035,"John Brown","WR"
"8900",65.7651833333333,"Philip Rivers","QB"
"8895",9.74705,"Melvin Gordon","RB"
"8961",0,"Josh Lambo","K"
"8898",1.3416,"Keenan Allen","WR"
"8875",40.5761666666667,"Marcus Mariota","QB"
"8880",0,"Ryan Succop","K"
"8869",3.0465,"Nelson Agholor","WR"
"8826",21.99,"Sam Bradford","QB"
"8857",3.976,"Adrian Peterson","RB"
"8867",1.284,"Rhett Ellison","TE"
"8816",2.191,"Kyle Rudolph","TE"
"8968",1.755,"Jimmy Graham","TE"
"8839",79.15275,"Russell Wilson","QB"
"8911",0,"Steven Hauschka","K"
"8805",4.01813333333333,"Ted Ginn","WR"
"8837",67.95495,"Cam Newton","QB"
"8833",0,"Graham Gano","K"
"8932",2.273,"Kenny Stills","WR"
"8928",7.74088333333333,"Lamar Miller","RB"
"8934",52.772,"Ryan Tannehill","QB"
"8947",1.683,"Allen Hurns","WR"
"8963",63.0097833333333,"Blake Bortles","QB"
"8797",0,"Allen Robinson","WR"
"8943",0.72,"Eric Ebron","TE"
"8919",0,"Matt Prater","K"
"8920",71.9562666666667,"Matthew Stafford","QB"
"8881",0,"Luke Stocker","TE"
"8954",1.06088333333333,"Sammy Watkins","WR"
"8890",0.8652,"Robert Woods","WR"
"8907",1.358,"Charles Clay","TE"
"8923",0.06,"Levine Toilolo","TE"
"8912",61.536,"Matt Ryan","QB"
"8913",0.235666666666667,"Julio Jones","WR"
"8916",0,"Matt Bryant","K"
"8848",40.0439166666666,"Joe Flacco","QB"
"8847",0,"Justin Tucker","K"
"8948",0,"Terrance Williams","WR"
"8827",0,"Phil Dawson","K"
"8836",3.2454,"Torrey Smith","WR"
"8822",64.7752666666667,"Andy Dalton","QB"
"8906",0,"Mike Nugent","K"
"8924",3.524,"Marvin Jones","WR"
"8819",0,"Tyler Eifert","TE"
"8967",68.206,"Aaron Rodgers","QB"
"8964",0,"Mason Crosby","K"
"8965",2.27908333333333,"Randall Cobb","WR"
"8969",5.299,"Davante Adams","WR"
"8887",0,"Pierre Garcon","WR"
"8815",84.6401333333333,"Kirk Cousins","QB"
"8800",65.4740833333334,"Drew Brees","QB"
"8803",1.736,"Ben Watson","TE"
"8889",1.54683333333333,"Brandin Cooks","WR"
"8904",0.18,"Jared Cook","TE"
"8939",0,"Adam Vinatieri","K"
"8962",1.917,"Donte Moncrief","WR"
"8937",4.9124,"Frank Gore","RB"
"8853",0.549,"Dwayne Allen","TE"
"8859",0,"Dustin Hopkins","K"
"8888",11.8351666666667,"Todd Gurley","RB"
"8897",0,"Caleb Sturgis","K"
"8813",7.50256666666667,"Stefon Diggs","WR"
"8877",27.74,"Blaine Gabbert","QB"
"8886",0.396433333333333,"Marquise Goodwin","WR"
"8855",2.2185,"Jamison Crowder","WR"
"8860",1.14,"Jordan Reed","TE"
"8941",54.555,"Andrew Luck","QB"
"8874",0,"Tajae Sharpe","WR"
"8817",1.34156666666667,"Adam Thielen","WR"
"8957",3.78,"Chris Conley","WR"
"8899",0,"Virgil Green","TE"
"8894",1.757,"Tyrell Williams","WR"
"8927",9.2351,"Will Fuller","WR"
"8841",2.18846666666667,"Tyler Lockett","WR"
"8921",6.05375,"Le Garrette Blount","RB"
"8903",5.175,"Jordy Nelson","WR"
"8863",0.7126,"Sterling Shepard","WR"
"8795",0.384,"Dion Sims","TE"
"8804",-1.35308431126191e-18,"Wil Lutz","K"
"8917",1.03095,"Mohamed Sanu","WR"
"8810",53.7429333333333,"Case Keenum","QB"
"8909",2.887,"Kelvin Benjamin","WR"
"8828",4.426,"David Johnson","RB"
"8946",9.84108333333333,"Ezekiel Elliott","RB"
"8945",47.4064,"Dak Prescott","QB"
"8870",62.2042,"Carson Wentz",NA
"8915",0,"Logan Paulsen","TE"
"8798",8.69801666666667,"Jordan Howard","RB"
"8799",0,"Cody Parkey","K"
"8871",4.863,"Zach Ertz","TE"
"8802",0.085,"Josh Hill","TE"
"8929",0,"Kaimi Fairbairn","K"
"8832",0.96,"Devin Funchess","WR"
"8831",4.32478333333334,"Christian Mc Caffrey","RB"
"8910",0.015,"Zay Jones","WR"
"8845",0,"Nick Boyle","TE"
"8876",0,"Corey Davis","WR"
"8878",1.12,"Jonnu Smith","TE"
"8861",1.5787,"Josh Doctson","WR"
"8902",3.93725,"Marshawn Lynch","RB"
"8955",6.39085,"Tyreek Hill","WR"
"8952",11.47485,"Kareem Hunt","RB"
"8858",1.722,"Paul Richardson","WR"
"8893",1.871,"Tyler Higbee","TE"
"8891",66.73,"Jared Goff","QB"
"8864",0,"Aldrick Rosas","K"
"8862",1.189,"Evan Engram","TE"
"8938",0.904,"Danny Amendola","WR"
"8850",6.18561666666666,"Alex Collins","RB"
"8872",0,"Jake Elliott","K"
"8935",0,"Matt Haack","P"
"8960",3.307,"Austin Seferian Jenkins","TE"
"8953",0,"Harrison Butker","K"
"8793",39.6599666666667,"Mitch Trubisky","QB"
"8820",6,"Tyler Boyd","WR"
"8823",2.69999999999999,"Giovani Bernard","RB"
"8821",0.3,"John Ross","WR"
"8844",0.700000000000001,"Maxx Williams","TE"
"8892",0,"Cooper Kupp","WR"
"8834",0,"Ian Thomas","TE"
"8835",6,"Jarius Wright","WR"
"8896",0,"Sean Culkin","TE"
"8914",10.7,"Tevin Coleman","RB"
"8801",4.60000000000001,"Alvin Kamara","RB"
"8868",2.80000000000001,"Saquon Barkley","RB"
"8884",13.8,"Matt Breida","RB"
"8882",0,"George Kittle","TE"
"8885",53.6,"Jimmy Garoppolo","QB"
"8814",0,"Matt Wile","K"
"8879",7.20000000000001,"Derrick Henry","RB"
"8908",58.1999999999999,"Josh Allen","QB"
"8824",0,"Gabe Holmes","TE"
"8830",0,"Ricky Seals Jones","TE"
"8829",0,"Chad Williams","WR"
"8970",5.89999999999999,"Jamaal Williams","RB"
"8966",0,"Geronimo Allison","WR"
"8959",6,"Keelan Cole","WR"
"8951",0,"Blake Jarwin","TE"
"8949",0,"Brett Maher","K"
"8950",0,"Deonte Thompson","WR"
"8944",0,"Geoff Swaim","TE"
"8936",0,"Jason Sanders","K"
"8933",5.30000000000001,"Kenyan Drake","RB"
"8806",0,"Jake Butt","TE"
"8811",0,"Jeff Heuerman","TE"
"8807",2.80000000000001,"Royce Freeman","RB"
"8956",103,"Patrick Mahomes","QB"
"8918",6,"Kenny Golladay","WR"
"8922",0,"Luke Willson","TE"
"8873",0,"Dallas Goedert","TE"
"8931",0,"Ryan Griffin","TE"
"8925",0,"Jordan Thomas","TE"
"8930",78.3999999999999,"Deshaun Watson","QB"
"8940",0,"Ryan Grant","WR"
"8942",6.10000000000001,"Jordan Wilkins","RB"
"8838",2.4,"Chris Carson","RB"
"8842",6,"Will Dissly","TE"
"8843",0,"Nick Vannett","TE"
"8792",1.7,"Taylor Gabriel","WR"
"8794",6.2,"Trey Burton","TE"
"8796",0.799999999999998,"Tarik Cohen","RB"
